model_setting,accuracy,auc,precision,recall
RLL_l1_512_l2_512_lr_0.05_penalty_0.1_bs_1024,0.8426966292134831,0.9070402298850575,0.8833333333333333,0.8833333333333333
RLL_l1_128_l2_64_lr_0.05_penalty_0.1_bs_512,0.8426966292134831,0.9064655172413792,0.8898305084745762,0.875
RLL_l1_1024_l2_128_lr_0.05_penalty_10.0_bs_1024,0.8426966292134831,0.9057471264367816,0.8770491803278688,0.8916666666666667
RLL_l1_256_l2_32_lr_0.05_penalty_10.0_bs_512,0.8426966292134831,0.9054597701149425,0.8833333333333333,0.8833333333333333
RLL_l1_128_l2_128_lr_0.05_penalty_1.0_bs_128,0.8426966292134831,0.905316091954023,0.8898305084745762,0.875
RLL_l1_1024_l2_32_lr_0.05_penalty_0.1_bs_512,0.8426966292134831,0.9051724137931035,0.8898305084745762,0.875
RLL_l1_1024_l2_64_lr_0.05_penalty_5.0_bs_512,0.8426966292134831,0.9050287356321839,0.8833333333333333,0.8833333333333333
RLL_l1_256_l2_32_lr_0.05_penalty_1.0_bs_512,0.8426966292134831,0.9047413793103449,0.8898305084745762,0.875
RLL_l1_1024_l2_32_lr_0.05_penalty_1.0_bs_512,0.8426966292134831,0.903735632183908,0.8898305084745762,0.875
RLL_l1_256_l2_64_lr_0.05_penalty_0.1_bs_128,0.8426966292134831,0.9035919540229885,0.896551724137931,0.8666666666666667
RLL_l1_128_l2_128_lr_0.05_penalty_1.0_bs_512,0.8426966292134831,0.9035919540229884,0.8770491803278688,0.8916666666666667
RLL_l1_128_l2_32_lr_0.05_penalty_1.0_bs_1024,0.8426966292134831,0.9022988505747126,0.9107142857142857,0.85
RLL_l1_128_l2_128_lr_0.05_penalty_0.1_bs_128,0.8426966292134831,0.8994252873563219,0.8833333333333333,0.8833333333333333
RLL_l1_256_l2_64_lr_0.05_penalty_0.1_bs_1024,0.8426966292134831,0.8994252873563219,0.8770491803278688,0.8916666666666667
RLL_l1_256_l2_64_lr_0.05_penalty_0.1_bs_512,0.8426966292134831,0.89066091954023,0.896551724137931,0.8666666666666667
RLL_l1_512_l2_256_lr_0.05_penalty_10.0_bs_512,0.8370786516853933,0.9145114942528736,0.864,0.9
RLL_l1_1024_l2_256_lr_0.05_penalty_0.1_bs_512,0.8370786516853933,0.910632183908046,0.8699186991869918,0.8916666666666667
RLL_l1_1024_l2_128_lr_0.05_penalty_0.1_bs_128,0.8370786516853933,0.9100574712643679,0.8760330578512396,0.8833333333333333
RLL_l1_512_l2_32_lr_0.05_penalty_1.0_bs_128,0.8370786516853933,0.9089080459770115,0.8699186991869918,0.8916666666666667
RLL_l1_512_l2_256_lr_0.05_penalty_1.0_bs_512,0.8370786516853933,0.908764367816092,0.8699186991869918,0.8916666666666667
RLL_l1_1024_l2_32_lr_0.05_penalty_10.0_bs_128,0.8370786516853933,0.9086206896551723,0.837037037037037,0.9416666666666667
RLL_l1_1024_l2_64_lr_0.05_penalty_1.0_bs_256,0.8370786516853933,0.9081896551724138,0.8699186991869918,0.8916666666666667
RLL_l1_512_l2_32_lr_0.05_penalty_0.1_bs_128,0.8370786516853933,0.9074712643678161,0.8823529411764706,0.875
RLL_l1_512_l2_32_lr_0.05_penalty_5.0_bs_1024,0.8370786516853933,0.9064655172413794,0.8823529411764706,0.875
RLL_l1_1024_l2_32_lr_0.05_penalty_5.0_bs_512,0.8370786516853933,0.9060344827586208,0.8760330578512396,0.8833333333333333
RLL_l1_128_l2_128_lr_0.05_penalty_5.0_bs_1024,0.8370786516853933,0.904022988505747,0.8823529411764706,0.875
RLL_l1_1024_l2_32_lr_0.05_penalty_10.0_bs_1024,0.8370786516853933,0.9038793103448277,0.8823529411764706,0.875
RLL_l1_128_l2_128_lr_0.05_penalty_0.1_bs_512,0.8370786516853933,0.9035919540229884,0.8823529411764706,0.875
RLL_l1_256_l2_32_lr_0.05_penalty_5.0_bs_1024,0.8370786516853933,0.9022988505747126,0.8888888888888888,0.8666666666666667
RLL_l1_512_l2_64_lr_0.05_penalty_10.0_bs_1024,0.8370786516853933,0.901293103448276,0.8582677165354331,0.9083333333333333
RLL_l1_128_l2_64_lr_0.05_penalty_1.0_bs_128,0.8370786516853933,0.9008620689655172,0.8823529411764706,0.875
RLL_l1_512_l2_32_lr_0.05_penalty_0.1_bs_1024,0.8370786516853933,0.89683908045977,0.8823529411764706,0.875
RLL_l1_64_l2_64_lr_0.05_penalty_1.0_bs_512,0.8370786516853933,0.8956896551724137,0.8888888888888888,0.8666666666666667
RLL_l1_256_l2_128_lr_0.05_penalty_5.0_bs_256,0.8314606741573034,0.9110632183908045,0.8688524590163934,0.8833333333333333
RLL_l1_256_l2_256_lr_0.05_penalty_5.0_bs_512,0.8314606741573034,0.9093390804597701,0.8688524590163934,0.8833333333333333
RLL_l1_128_l2_32_lr_0.05_penalty_1.0_bs_128,0.8314606741573034,0.9089080459770116,0.875,0.875
RLL_l1_256_l2_64_lr_0.05_penalty_5.0_bs_512,0.8314606741573034,0.9073275862068966,0.875,0.875
